name,street,city,state,zip,country,latitude,longitude,phone,website,image_url,store_type,services,featured,description
Northwood Coffee Distillery District,55 Mill St,Toronto,ON,M5A 3C4,CA,43.6503,-79.3596,+1 416-555-0101,https://example.com/distillery,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,wifi",1,Flagship cafe in the Distillery District with all-day brunch and an espresso bar.
Northwood Coffee Queen West,802 Queen St W,Toronto,ON,M6J 1G3,CA,43.6464,-79.4108,+1 416-555-0102,https://example.com/queenwest,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Compact Queen West cafe with a pastry counter and weekend brunch.
Northwood Coffee Oakville,301 Cornwall Rd,Oakville,ON,L6J 7Z5,CA,43.4569,-79.6849,+1 905-555-0103,https://example.com/oakville,https://images.unsplash.com/photo-1505252585461-04db1eb84625?auto=format&fit=crop&w=900&q=80,cafe,"espresso,parking,drive-thru",0,Suburban location with drive-thru window and easy parking.
Northwood Coffee Mississauga,5100 Erin Mills Pkwy,Mississauga,ON,L5M 4Z5,CA,43.5232,-79.7184,+1 905-555-0104,https://example.com/mississauga,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,parking",0,Mall-adjacent cafe with a long pastry case and study seating.
Northwood Coffee Kensington,21 Augusta Ave,Toronto,ON,M5T 2K3,CA,43.6537,-79.4014,+1 416-555-0105,https://example.com/kensington,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,vegan",1,Plant-forward menu and pour-over bar in the heart of Kensington Market.
Northwood Roastery Brooklyn,219 Bedford Ave,Brooklyn,NY,11211,US,40.7178,-73.9572,+1 718-555-0201,https://example.com/williamsburg,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,roastery,"espresso,pour-over,beans",1,Roastery and tasting room with a 12-bar espresso machine.
Northwood Roastery Manhattan,55 W 25th St,New York,NY,10010,US,40.7438,-73.9893,+1 212-555-0202,https://example.com/flatiron,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,roastery,"espresso,beans,wifi",0,Flatiron roastery with retail bean bar.
Northwood Coffee Brooklyn Heights,142 Montague St,Brooklyn,NY,11201,US,40.6952,-73.9952,+1 718-555-0203,https://example.com/brooklynheights,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Quiet Brooklyn Heights cafe with all-day study seating.
Northwood Coffee Astoria,30-09 Steinway St,Astoria,NY,11103,US,40.7616,-73.9151,+1 718-555-0204,https://example.com/astoria,https://images.unsplash.com/photo-1505252585461-04db1eb84625?auto=format&fit=crop&w=900&q=80,cafe,"espresso,brunch,wifi",0,Astoria neighborhood cafe with weekend brunch.
Northwood Coffee Silver Lake,2904 Sunset Blvd,Los Angeles,CA,90026,US,34.0890,-118.2675,+1 213-555-0301,https://example.com/silverlake,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,patio",0,Silver Lake corner cafe with a sidewalk patio.
